Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Daire,bahçeşehir akzirve strada projesi 2+1 satılık sıfır daire,2 + 1,113 m,Sıfır Bina,6. Kat,"710,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,bahçekent emlak konut 653 ada 3.5+1 daire,3 + 1,140 m,3 Yaşında,2. Kat,"699,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Ağustos 2020
Daire,kayaşehir 1.bölge satılık 2+1 75 m2 tapulu ara kat daire,2 + 1,75 m,9 Yaşında,3. Kat,"410,000","Başakşehir, Kayabaşı Mahallesi",28 Ağustos 2020
Daire,bahçeşehir şelale düden 3+1 tadilatlı manzaralı satılık daire,3 + 1,162 m,20 Yaşında,14. Kat,"1,350,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,Villa Katı,"2,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Ağustos 2020
Daire,metrokent satılık 3+1 boş daire,3 + 1,154 m,10 Yaşında,8. Kat,"1,420,000","Başakşehir, Başak Mahallesi",25 Ağustos 2020
Villa,güvenlikli.. havuzlu.. kapalı garajlı.. bahçeli villa- finansman,4 + 2,360 m,15 Yaşında,Villa Katı,"1,800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",25 Temmuz 2020
Daire,emlak konut başakşehir evleri 1' de peyzaja bakan 3+1 satılık,3 + 1,130 m,5 Yaşında,5. Kat,"1,025,000","Başakşehir, Kayabaşı Mahallesi",25 Ağustos 2020
Daire,bahçeşehir funda e tipi 3+1 havuzlu site içinde satılık daire,3 + 1,203 m,20 Yaşında,6. Kat,"1,100,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",31 Ağustos 2020
Villa,geniş ve müstakil bahçe.. lüx.. köşe.. triplex villa.. finansman,5 + 1,320 m,15 Yaşında,Villa Katı,"2,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,başakşehir evleri 3. kat peyzaj cepheli 3+1(130m2) satılık daire,3 + 1,130 m,4 Yaşında,2. Kat,"1,050,000","Başakşehir, Kayabaşı Mahallesi",31 Ağustos 2020
Daire,bahçetepe 3+1 hobi bahçeli tapulu,3 + 1,143 m,5 Yaşında,3. Kat,"1,230,000","Başakşehir, Başakşehir Mahallesi",20 Eylül 2020
Villa,havuzlu.. güvenlikli.. müstakil bahçeli.. köşe villa.. finansman,4 + 2,360 m,15 Yaşında,Villa Katı,"2,100,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ağustos 2020
Villa,hamam.. sauna.. şömine.. garaj- iyi konumda- geniş bahçeli villa,4 + 2,360 m,15 Yaşında,Villa Katı,"1,600,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Residence,bahçeşehir nissa o2'de 1+1 satılık residence daire,1 + 1,149 m,3 Yaşında,8. Kat,"740,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",2 Eylül 2020
Daire,bahçeşehir atmaca dublex bahçe kullanımlı 5+1 satılık daire,5 + 1,250 m,2 Yaşında,Bahçe Katı,"2,700,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",27 Ağustos 2020
Daire,bahçeşehir gül adası a tipi 4+1 bakımlı manzaralı satılık daire,4 + 1,180 m,20 Yaşında,6. Kat,"1,300,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Ağustos 2020
Villa,2 aileye uygun.. geniş ve müstakil bahçeli.. 2 tane dublex villa,8 + 2,450 m,17 Yaşında,Villa Katı,"3,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Daire,bulvar istanbul göl etabı satılık daire 3+1 yüksek kat,3 + 1,168 m,7 Yaşında,En Üst Kat,"1,165,000","Başakşehir, Ziya Gökalp Mahallesi",26 Ağustos 2020
Daire,bahçeşehir mesa zambaklı bahçe havuzlu satılık 2+1 daire.,2 + 1,115 m,10 Yaşında,7. Kat,"920,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",4 Ağustos 2020
Daire,kayaşehir 13.bölge de satılık 68m² 2+1 tapulu daire,2 + 1,68 m,10 Yaşında,2. Kat,"365,000","Başakşehir, Kayabaşı Mahallesi",4 Temmuz 2020
Daire,"park mavera 3'de 4,5 +1 peyzaj manzaralı satılık daire",4 + 1,207 m,Sıfır Bina,9. Kat,"2,075,000","Başakşehir, Kayabaşı Mahallesi",22 Ağustos 2020
Daire,her yere yakın.. 320 m2.. teraslı 6+2 dublex.. iki aileye uygun,6 + 2,320 m,15 Yaşında,6. Kat,"720,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,kayaşehir 6.bölge satılık 3+1 daire,3 + 1,118 m,10 Yaşında,12. Kat,"655,000","Başakşehir, Kayabaşı Mahallesi",9 Eylül 2020
Residence,bahçeşehir loca istanbul da satılık lux dubleks,5 + 2,320 m,8 Yaşında,10. Kat,"4,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Temmuz 2020
Daire,"sahibinden bahçeşehir manavgat bakımlı site,",2 + 1,220 m,16 Yaşında,12. Kat,"1,150,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",21 Ağustos 2020
Villa,bahçeşehir ıspartakulde geniş bahçeli bakımlı 4+2 satılık villa,4 + 2,420 m,18 Yaşında,Villa Katı,"3,600,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",27 Ağustos 2020
Daire,başakşehir ağaoğlu my world europe 4+1 satılık daire,4 + 1,203 m,9 Yaşında,7. Kat,"1,600,000","Başakşehir, Ziya Gökalp Mahallesi",10 Eylül 2020
Daire,bahçeşehir funda bölgesinde b tipi ara kat 3+1 satılık daire,3 + 1,125 m,25 Yaşında,4. Kat,"800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",27 Ağustos 2020
Daire,metrokent vadi manzaralı 3+1 satılık daire,3 + 1,154 m,9 Yaşında,11. Kat,"1,650,000","Başakşehir, Başak Mahallesi",3 Ekim 2020
Villa,boğazköy satılık natamam ve tamam villalar,5 + 2,400 m,15 Yaşında,6. Kat,"1,200,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Eylül 2020
Daire,kayaşehir nida park yakut sitesi satılık daire 3+1,3 + 1,174 m,1 Yaşında,4. Kat,"1,550,000","Başakşehir, Kayabaşı Mahallesi",24 Ağustos 2020
Daire,boğazköy can onur sitesi 3+1 satılık daire,3 + 1,125 m,12 Yaşında,Zemin,"350,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",3 Eylül 2020
Villa,bahçeşehir merkezde büyük bahçeli iskanlı villa,7 + 2,420 m,23 Yaşında,6. Kat,"2,800,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",10 Ağustos 2020
Daire,bahçeşehir gül adasında b tipi 3+1 satılık daire,3 + 1,130 m,20 Yaşında,8. Kat,"800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Eylül 2020
Residence,değer yapı'dan site içi kredisiz elden ödemeli 2+1 fırsatı,1 + 1,83 m,Sıfır Bina,15. Kat,"160,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Eylül 2020
Daire,özyurtlar n tepe.. 175 m2.. merkezi konumda.. teraslı 3+1 daire,3 + 1,175 m,10 Yaşında,2. Kat,"620,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ağustos 2020
Daire,marla gayrimenkul'den bahçetepe 100m2 2+1 kapalı mutfak satılık,2 + 1,100 m,10 Yaşında,15. Kat,"849,000","Başakşehir, Kayabaşı Mahallesi",1 Ekim 2020
Residence,değerden lansmana özel fırsat elden ödemeli 60ay vade seçeneği,2 + 1,110 m,Sıfır Bina,10. Kat,"250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Eylül 2020
Daire,"bahçeşehir hillpark 2+1 teraslı, balkonlu satılık daire",2 + 1,142 m,10 Yaşında,12. Kat,"925,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",21 Ağustos 2020
Daire,bahçeşehir akzirve strada'da manzaralı tapulu krediye uygun 1+1.,1 + 1,77 m,1 Yaşında,1. Kat,"460,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Eylül 2020
Villa,sahibinden satılık villa,6 + 2,360 m,10 Yaşında,21 ve üzeri,"1,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",24 Ağustos 2020
